sourceId,推广组,推广计划,创意,点击日期,点击时间,广告位,URL,城市,省,exchange,竞价模式,扣费(元)
fu0BJT8Dq6o0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:49,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,日照,山东,MAX精选,CPC,0.95
fu0D5Db8dI20,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,16:53:45,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/416qbh2hu0b8pl8hnp84bc0ri9k?from=browser,深圳,广东,MAX精选,CPC,4.67
fu3wO0klqjZ0,A-36计2-守卫家园-广告位计划,导航_娱乐频道内容页下拉跟随矩形02,300x250.swf,2017/05/22,12:26:04,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/135720,福州,福建,MAX精选,CPC,3.41
fu4Ht2xj7DG0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:55,360导航娱乐_其他_其他_商品推荐广告尺寸_矩形_30k|娱乐详情页图加广告js,http://yule.360.cn/content/112353,广州,广东,MAX精选,CPC,0.53
fu4q00WLemd0,New-36计2-一泊四日-广告位计划,已测广告位2.88,300x250.swf,2017/05/22,16:29:52,360小视频_其他_其他_300x250_矩形_30k|视频页右侧标准图形,http://k.360kan.com/pc/detail/EQ5Xo1GxXRj2?dl=dh_cnak_2,镇江,江苏,MAX精选,CPC,2.74
fu7JwomGhR20,A-36计2-防御为王-广告位计划,导航_娱乐2,防御为王300x250.swf,2017/05/22,16:41:04,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/134343,东莞,广东,MAX精选,CPC,2.88
fu9fuC4yfAI0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:42,网易_内容页_三屏_300x250_矩形_30k|右下角固定位矩形-8,http://news.163.com/special/news_test501/?1487905747007&mid=izZvJZ_1047864&w=300&h=250,新乡,河南,MAX精选,CPC,1.12
fuA9euGix160,A-36计2-信息流-全尺寸,660x220,「战神36计」战争策略游戏入口,2017/05/22,12:30:44,网易_频道页_二屏_660x220_矩形_30k|通发位除大事件第10条大图模式,news.163.com,杭州,浙江,MAX精选,null,0
fuaK0HZg0UU0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:57,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,九江,江西,MAX精选,CPC,0.5
fuCRkzshnP10,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,12:46:22,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/35v4kupbr4d8b8oj5klvnqnk09a?from=browser,烟台,山东,MAX精选,CPC,3.19
fuCuIW0I71Y0,New-36计2-一泊四日-广告位计划,导航_娱乐频道内容页下拉跟随矩形02,300x250.swf,2017/05/22,16:09:13,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/137274?realtime,信阳,河南,MAX精选,CPC,3.86
fucwTUmFIDo0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:02,北京时间_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你爱购商品推荐,http://item.btime.com/31lqkqifmgs8sap32mq2t0h42vs?from=haoz1t3w21,其他,上海,MAX精选,null,0
fucypbhFhAY0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:52,360搜索_内容页_首屏_商品推荐广告尺寸_矩形_30k|搜索中间页,http://spro.so.com/searchthrow/api/midpage/throw?ls=sn1048962&q=%E6%BE%B3%E6%B4%B2%E6%88%BF%E4%BA%A7%E7%BD%91%E7%AB%99&lmid=38f34e30a7998ed5&lm_extend=ctype:7&ctype=7&rurl=http://g.360.cn/index.html,温州,浙江,MAX精选,CPC,0.8
fuFhtNMj7DG0,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,16:17:39,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/34c83c2mrlc94oabnin8k0mce1o?from=mini,其他,天津,MAX精选,CPC,4.14
fuFJt808Dz20,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,16:05:58,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,齐齐哈尔,黑龙江,MAX精选,CPC,3.17
fuhG03i4Cd10,A-36计2-守卫家园-广告位计划,导航_娱乐频道内容页下拉跟随矩形02,300x250.swf,2017/05/22,12:54:21,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/136900,湛江,广东,MAX精选,CPC,3.34
fuhIQRwvrAd0,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,12:58:12,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/31p6nnrsrf795eb0q69hoc1pt3i?from=mini,塔城地区,新疆,MAX精选,CPC,2.86
fuhRavTryi20,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,16:37:15,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/30bbj2gbk4794spk443bv70hqbp?from=browser,邵阳,湖南,MAX精选,CPC,3.4
fui0bYvQy9I0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:33,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,南充,四川,MAX精选,CPC,0.5
fui0kIzWUbj0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:21,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,其他,重庆,MAX精选,CPC,0.5
fuIH7q0jyqd0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,12:30:57,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/445rj6lcor99evrl032nvieh8mp?from=browser,延边,吉林,MAX精选,CPC,4.36
fuiKkd91Ie10,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:06,酷6网_内容页_首屏_300x250_矩形_30k|播放页播放器下右侧矩形01,"http://www.ku6.com/bd_native/render.html?id=1014354&mode=sync&size=300,250",杭州,浙江,MAX精选,CPC,1.06
fuJilGSFv1Y0,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,12:22:58,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/36clu39rhut86eqpipjurfqaq64?from=mini,南宁,广西,MAX精选,CPC,2.32
fuJvQasv0Pj0,A-36计2-守卫家园-广告位计划,导航_娱乐频道内容页下拉跟随矩形02,300x250.swf,2017/05/22,12:34:31,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/136416,绵阳,四川,MAX精选,CPC,3.79
fuK7fyOfYJ20,New-36计2-新闻锦囊-防御为王,新闻流量锦囊,防御为王728x90.swf,2017/05/22,16:09:40,浏览器mini弹窗导流_首页_首屏_728x90_横幅_30k|北京时间左侧_评论下方图形,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,其他,天津,MAX精选,CPC,4.52
fuKiExs8i1j0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,16:41:52,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/45pdq4gibsf9qtov0an1a5hlek5?from=browser,遂宁,四川,MAX精选,CPC,5.48
fukWtVx4Kyr0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:43,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,东莞,广东,MAX精选,CPC,0.68
fuL6478siaU0,A-36计2-防御为王-广告位计划,导航_娱乐2,防御为王300x250.swf,2017/05/22,16:33:48,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/135849,其他,北京,MAX精选,CPC,2.45
fumrstVVjEo0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:10,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,深圳,广东,MAX精选,CPC,0.88
fuOPPLWikW40,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:00,北青网_内容页_其他_300x250_矩形_30k|文章通发页右侧3NS322,http://adhz.ynet.com/iframe/yuanyang_1_1127.html?mid=XtS0ZO_1843435&w=300&h=250,泉州,福建,MAX精选,CPC,1.05
fup4pqskhtI0,A-36计2-防御为王-广告位计划,导航_娱乐2,防御为王300x250.swf,2017/05/22,00:57:44,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/list?tag=%E5%BD%B1%E8%A7%86,阜阳,安徽,MAX精选,CPC,1.22
fupeMrUUSAZ0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:17:14,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,潍坊,山东,MAX精选,CPC,0.87
fuR73W2Hpm40,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:18,酷6网_内容页_首屏_300x250_矩形_30k|播放页播放器下右侧矩形01,"http://www.ku6.com/bd_native/render.html?id=1014354&mode=sync&size=300,250",杭州,浙江,MAX精选,CPC,0.86
